student_id,name,gender,university_name,university_type,department,semester/year,cgpa,subjects,attendance_percentage,study_hours_per_day,weak_subjects,strong_subjects,district,device_usage_time,preferred_study_time,exam_score,historical_scores,risk_level
U00027,Mariam Begum,Female,American International University-Bangladesh,Private,Nursing,"Year 2, Summer",3.94,"Genetics, Organic Chemistry, Human Anatomy, Pharmacology",90.7,6.1,"Pharmacology, Human Anatomy",Genetics,Khulna,6.5,Afternoon,94.4,"87.0,87.9,87.5,94.7,94.4",Low
U00028,Sabina Ali,Female,United International University,Private,Psychology,"Year 2, Summer",2.86,"World History, Research Methodology, Political Science, Social Psychology",71.5,6.0,"Political Science, Social Psychology","Research Methodology, World History",Dhaka,7.3,Afternoon,67.8,"70.4,69.4,63.4,60.3,67.8",Medium
U00029,Nusrat Khan,Female,RUET,Public,Economics,"Year 4, Spring",2.65,"Principles of Management, Marketing Strategy, Financial Accounting, Business Law",99,4.1,Financial Accounting,Business Law,Narayanganj,11.0,Evening,65.6,"56.5,68.9,61.3,64.8,65.6",Medium
U00030,Nabil Sarker,Male,Daffodil International University,Private,LLB,"Year 4, Summer",2.7,"Constitutional Law, Jurisprudence, Criminal Law, Civil Procedure",83.0,3.2,"Criminal Law, Constitutional Law","Civil Procedure, Jurisprudence",Rajshahi,5.3,Morning,66.2,"64.9,62.9,66.3,67.6,66.2",Medium
U00031,Farhana Islam,Female,United International University,Private,Mechanical Engineering,"Year 1, Summer",3.65,"Algorithms, Machine Learning, Circuit Analysis, Data Structures, Thermodynamics",89.2,6.4,Machine Learning,"Data Structures, Circuit Analysis",Cumilla,9.7,Night,92.6,"87.6,93.6,88.4,89.8,92.6",Low
U00032,Rafi Khan,Male,BRAC University,Private,International Law,"Year 1, Fall",3.92,"Jurisprudence, Constitutional Law, Civil Procedure, Criminal Law",75.2,2.7,Jurisprudence,"Constitutional Law, Criminal Law",Chattogram,1.2,Afternoon,100,"100,92.0,97.0,98.8,100",Medium
U00033,Sajid Begum,Male,Jagannath University,Public,AI,"Year 3, Summer",2.84,"Algorithms, Data Structures, Thermodynamics, Machine Learning, Database Systems",72.4,3.1,Algorithms,Thermodynamics,Tangail,8.1,Evening,73.4,"66.2,75.6,78.3,72.9,73.4",Medium
U00034,Afia Sarker,Female,KUET,Public,Civil Engineering,"Year 3, Fall",3.42,"Thermodynamics, Data Structures, Circuit Analysis, Machine Learning",74.4,8.2,"Machine Learning, Circuit Analysis","Data Structures, Thermodynamics",Rajshahi,2.5,Morning,85.9,"75.9,81.8,85.1,82.3,85.9",Medium
U00035,Sumaiya Ali,Female,Rajshahi University,Public,EEE,"Year 4, Spring",3.07,"Algorithms, Data Structures, Circuit Analysis, Database Systems, Thermodynamics",64.6,3.0,"Database Systems, Algorithms",Circuit Analysis,Narayanganj,4.2,Night,81.3,"74.8,82.4,86.3,73.1,81.3",Medium
U00036,Raisa Ahmed,Female,University of Liberal Arts Bangladesh,Private,Anthropology,"Year 3, Fall",2.98,"World History, Social Psychology, Research Methodology, Political Science",89.8,6.8,World History,Research Methodology,Rajshahi,8.5,Morning,74.0,"72.8,66.8,64.8,72.7,74.0",Medium
U00037,Tanjila Ali,Female,Chittagong University,Public,English,"Year 4, Summer",3.61,"Mass Communication, History of Art, Literary Criticism, Ethics",80.1,4.7,History of Art,Literary Criticism,Mymensingh,8.7,Night,87.4,"86.6,87.4,83.8,89.0,87.4",Low
U00038,Tanjila Uddin,Female,North South University,Private,AI,"Year 1, Spring",2.72,"Thermodynamics, Circuit Analysis, Data Structures, Machine Learning, Database Systems, Algorithms",72.3,4.6,"Algorithms, Circuit Analysis","Thermodynamics, Database Systems",Bogura,4.1,Morning,64.1,"57.1,68.0,64.1,56.8,64.1",Medium
U00039,Tasnia Ali,Female,United International University,Private,Finance,"Year 3, Fall",3.87,"Financial Accounting, Business Law, Marketing Strategy, Microeconomics",93.7,5.8,Financial Accounting,Marketing Strategy,Dhaka,7.7,Morning,93.3,"89.1,87.0,89.9,95.0,93.3",Low
U00040,Tanjila Hasan,Female,"Independent University, Bangladesh",Private,Civil Engineering,"Year 2, Fall",2.79,"Data Structures, Thermodynamics, Circuit Analysis, Database Systems",88.7,4.8,"Circuit Analysis, Data Structures","Database Systems, Thermodynamics",Bogura,7.5,Morning,73.4,"64.0,71.1,69.0,73.5,73.4",Medium
U00041,Nusrat Akter,Female,United International University,Private,Marketing,"Year 4, Spring",2.37,"Microeconomics, Financial Accounting, Business Law, Principles of Management, Marketing Strategy",91.3,5.3,Marketing Strategy,"Business Law, Microeconomics",Jessore,4.0,Night,55.9,"51.1,53.8,55.3,58.1,55.9",High
U00042,Tanjila Islam,Female,United International University,Private,International Law,"Year 2, Fall",3.82,"Criminal Law, Constitutional Law, Civil Procedure, Jurisprudence",75.8,6.0,"Criminal Law, Civil Procedure",Constitutional Law,Chattogram,1,Morning,93.2,"88.5,88.2,87.8,87.8,93.2",Low
U00043,Nabila Rahman,Female,BRAC University,Private,Journalism,"Year 3, Spring",2.7,"Mass Communication, History of Art, Literary Criticism, Ethics",97.6,2.7,Mass Communication,"History of Art, Ethics",Cox's Bazar,9.1,Morning,69.7,"69.2,69.7,60.9,74.2,69.7",Medium
U00044,Siam Hasan,Male,"Independent University, Bangladesh",Private,Marketing,"Year 2, Spring",3.32,"Principles of Management, Financial Accounting, Microeconomics, Marketing Strategy",72.4,5.1,"Microeconomics, Principles of Management",Marketing Strategy,Rangpur,6.6,Morning,86.7,"78.8,80.0,88.0,88.7,86.7",Medium
U00045,Zubayer Ali,Male,Ahsanullah University of Science and Technology,Private,Biotechnology,"Year 4, Fall",2.67,"Human Anatomy, Organic Chemistry, Clinical Pharmacy, Genetics",83.7,1.3,"Genetics, Human Anatomy","Organic Chemistry, Clinical Pharmacy",Cox's Bazar,6.5,Night,64.0,"68.5,67.7,55.8,64.9,64.0",High
U00046,Sumaiya Khan,Female,University of Liberal Arts Bangladesh,Private,BBA,"Year 3, Fall",3.38,"Principles of Management, Business Law, Marketing Strategy, Financial Accounting",80.3,7.6,Principles of Management,"Financial Accounting, Business Law",Rangpur,7.4,Evening,79.8,"76.3,77.0,79.9,79.7,79.8",Low
U00047,Farhana Hasan,Female,University of Liberal Arts Bangladesh,Private,Microbiology,"Year 1, Fall",3.04,"Clinical Pharmacy, Organic Chemistry, Genetics, Pharmacology",96.6,2.9,"Genetics, Pharmacology","Organic Chemistry, Clinical Pharmacy",Jessore,8.9,Night,73.1,"68.5,71.0,67.8,66.5,73.1",Medium
U00048,Naeem Hasan,Male,Daffodil International University,Private,Finance,"Year 2, Spring",2.93,"Microeconomics, Principles of Management, Financial Accounting, Business Law, Marketing Strategy",77.3,4.9,Microeconomics,"Marketing Strategy, Principles of Management",Mymensingh,9.6,Night,76.3,"72.0,66.8,77.2,78.5,76.3",Medium
U00049,Imtiaz Islam,Male,Noakhali Science and Technology University,Public,Marketing,"Year 4, Fall",3.72,"Principles of Management, Microeconomics, Financial Accounting, Marketing Strategy",81.2,7.0,Marketing Strategy,"Microeconomics, Financial Accounting",Gazipur,4.0,Morning,91.4,"91.4,82.6,94.5,96.0,91.4",Low
U00050,Adnan Ali,Male,BUET,Public,CSE,"Year 1, Summer",3.64,"Thermodynamics, Data Structures, Machine Learning, Algorithms, Database Systems",81.2,7.5,Machine Learning,"Database Systems, Thermodynamics",Jessore,4.9,Afternoon,95.9,"91.0,93.6,96.5,91.2,95.9",Low
U00051,Mariam Ali,Female,"Independent University, Bangladesh",Private,Accounting,"Year 4, Spring",2.86,"Microeconomics, Marketing Strategy, Business Law, Financial Accounting, Principles of Management",83.7,5.1,Marketing Strategy,"Business Law, Microeconomics",Cox's Bazar,1,Morning,66.7,"70.9,65.8,66.3,68.4,66.7",Medium
U00052,Jannat Uddin,Female,SUST,Public,Mechanical Engineering,"Year 1, Summer",3.54,"Thermodynamics, Data Structures, Machine Learning, Algorithms",94.3,5.8,Thermodynamics,"Machine Learning, Data Structures",Mymensingh,9.1,Afternoon,89.6,"85.4,88.5,81.6,84.7,89.6",Low
U00053,Shakib Ahmed,Male,Daffodil International University,Private,History,"Year 1, Fall",3.59,"Literary Criticism, Mass Communication, History of Art, Ethics",87.7,6.2,"History of Art, Mass Communication",Literary Criticism,Khulna,7.4,Morning,86.4,"82.9,82.6,82.7,77.0,86.4",Low
U00054,Mariam Hasan,Female,SUST,Public,BBA,"Year 2, Summer",2.98,"Business Law, Marketing Strategy, Microeconomics, Financial Accounting",78.5,7.1,"Marketing Strategy, Microeconomics",Financial Accounting,Bogura,5.4,Night,73.4,"71.7,75.5,74.5,68.7,73.4",Medium
U00055,Tasnia Islam,Female,United International University,Private,International Relations,"Year 1, Summer",3.7,"Political Science, Social Psychology, World History, Research Methodology",78.8,4.2,Research Methodology,"Political Science, Social Psychology",Tangail,5.3,Night,94.6,"93.7,98.0,98.1,96.8,94.6",Low
U00056,Rafi Ahmed,Male,University of Liberal Arts Bangladesh,Private,Civil Engineering,"Year 2, Summer",2.94,"Database Systems, Thermodynamics, Data Structures, Circuit Analysis, Machine Learning, Algorithms",89.6,10.6,"Thermodynamics, Circuit Analysis",Database Systems,Sylhet,6.6,Night,73.2,"70.1,73.8,63.6,69.3,73.2",Medium
U00057,Ayesha Uddin,Female,Chittagong University,Public,International Law,"Year 3, Fall",3.29,"Constitutional Law, Criminal Law, Civil Procedure, Jurisprudence",72.2,5.9,"Jurisprudence, Constitutional Law","Civil Procedure, Criminal Law",Cox's Bazar,2.2,Afternoon,80.6,"84.5,72.8,81.5,81.7,80.6",Medium
U00058,Fahim Sarker,Male,Comilla University,Public,Microbiology,"Year 2, Summer",3.1,"Human Anatomy, Pharmacology, Genetics, Clinical Pharmacy, Organic Chemistry",84.3,7.8,"Human Anatomy, Organic Chemistry",Clinical Pharmacy,Chattogram,6.2,Evening,76.2,"69.0,66.8,73.0,76.5,76.2",Low
U00059,Nadia Rahman,Female,United International University,Private,Environmental Science,"Year 3, Spring",2.98,"Sustainable Development, Soil Science, Ecology, Climate Change",73.9,1.2,Ecology,"Soil Science, Climate Change",Rangpur,5.5,Night,70.6,"64.4,67.5,73.2,69.5,70.6",High
U00060,Arif Hasan,Male,University of Dhaka,Public,Economics,"Year 1, Summer",2.7,"Microeconomics, Financial Accounting, Marketing Strategy, Principles of Management",68.3,1.9,"Financial Accounting, Marketing Strategy",Principles of Management,Narayanganj,7.1,Evening,68.2,"62.5,72.1,60.9,59.5,68.2",High
U00061,Mahmud Islam,Male,University of Liberal Arts Bangladesh,Private,EEE,"Year 3, Fall",3.21,"Circuit Analysis, Algorithms, Thermodynamics, Machine Learning, Database Systems",83.9,6.1,Database Systems,"Algorithms, Thermodynamics",Kushtia,3.4,Evening,82.1,"75.6,78.1,76.8,82.8,82.1",Low
U00062,Siam Begum,Male,BRAC University,Private,English,"Year 1, Fall",3.01,"Ethics, Mass Communication, Literary Criticism, History of Art",87.4,6.6,"Literary Criticism, Mass Communication","History of Art, Ethics",Sylhet,4.7,Evening,70.4,"71.9,75.0,66.8,74.4,70.4",Low
U00063,Zubayer Akter,Male,BRAC University,Private,Agriculture,"Year 4, Spring",4.0,"Sustainable Development, Soil Science, Ecology, Climate Change",54.1,3.1,Soil Science,Climate Change,Bogura,3.0,Afternoon,100,"100,100,92.2,100,100",High
U00064,Tanjila Khan,Female,BUET,Public,Psychology,"Year 2, Summer",3.69,"Political Science, Research Methodology, Social Psychology, World History",77.7,4.5,"World History, Political Science","Social Psychology, Research Methodology",Rajshahi,8.6,Night,87.8,"83.5,83.4,78.7,83.3,87.8",Low
U00065,Arif Begum,Male,University of Liberal Arts Bangladesh,Private,International Law,"Year 4, Fall",2.74,"Constitutional Law, Criminal Law, Jurisprudence, Civil Procedure",81.5,5.3,Constitutional Law,"Criminal Law, Civil Procedure",Cox's Bazar,1.6,Afternoon,64.2,"56.1,61.2,62.9,65.6,64.2",Medium
U00066,Mariam Khan,Female,BUET,Public,International Law,"Year 1, Summer",2.86,"Constitutional Law, Jurisprudence, Criminal Law, Civil Procedure",72.1,7.1,Constitutional Law,Criminal Law,Bogura,1.4,Afternoon,66.9,"60.0,62.8,60.6,69.8,66.9",Medium
U00067,Nadia Sarker,Female,North South University,Private,Agriculture,"Year 1, Summer",3.17,"Soil Science, Ecology, Sustainable Development, Climate Change",80.0,3.5,"Sustainable Development, Climate Change","Soil Science, Ecology",Barishal,7.5,Afternoon,78.0,"69.9,76.5,81.9,73.9,78.0",Medium
U00068,Sajid Hasan,Male,SUST,Public,LLB,"Year 3, Spring",3.62,"Jurisprudence, Constitutional Law, Criminal Law, Civil Procedure",83.8,4.5,Criminal Law,Civil Procedure,Gazipur,8.4,Morning,93.9,"84.5,93.1,87.5,89.1,93.9",Low
U00069,Ayesha Hossain,Female,United International University,Private,Software Engineering,"Year 1, Fall",2.52,"Thermodynamics, Circuit Analysis, Database Systems, Algorithms, Machine Learning",81.5,7.7,Machine Learning,"Circuit Analysis, Database Systems",Dhaka,8.6,Night,60.3,"62.8,53.6,52.0,58.8,60.3",Medium
U00070,Mahmud Uddin,Male,American International University-Bangladesh,Private,Civil Engineering,"Year 3, Summer",3.16,"Algorithms, Data Structures, Database Systems, Machine Learning, Thermodynamics",89.2,5.1,"Machine Learning, Data Structures",Database Systems,Rajshahi,8.4,Evening,78.8,"80.5,78.3,82.6,74.4,78.8",Low
U00071,Sajid Hasan,Male,BUET,Public,Agriculture,"Year 4, Fall",2.34,"Soil Science, Climate Change, Ecology, Sustainable Development",99,5.7,Climate Change,Sustainable Development,Kushtia,1.3,Morning,53.8,"44.6,53.3,46.8,56.0,53.8",High
U00072,Jannat Uddin,Female,East West University,Private,EEE,"Year 2, Summer",2.36,"Database Systems, Machine Learning, Data Structures, Thermodynamics, Circuit Analysis, Algorithms",68.5,7.1,Thermodynamics,Circuit Analysis,Rangpur,5.8,Morning,61.3,"65.5,51.8,52.6,65.9,61.3",High
U00073,Sajid Hasan,Male,BRAC University,Private,International Law,"Year 1, Spring",3.14,"Criminal Law, Jurisprudence, Civil Procedure, Constitutional Law",82.8,4.3,Criminal Law,Constitutional Law,Mymensingh,2.0,Afternoon,74.8,"76.3,67.0,79.0,72.7,74.8",Low
U00074,Adnan Hossain,Male,American International University-Bangladesh,Private,Pharmacy,"Year 1, Spring",2.5,"Human Anatomy, Genetics, Clinical Pharmacy, Pharmacology, Organic Chemistry",71.1,4.8,"Pharmacology, Human Anatomy",Organic Chemistry,Cumilla,7.4,Night,66.8,"71.3,64.9,58.3,69.8,66.8",Medium
U00075,Naeem Hasan,Male,BUET,Public,Accounting,"Year 1, Fall",2.45,"Financial Accounting, Principles of Management, Business Law, Marketing Strategy",69.9,3.9,Financial Accounting,Principles of Management,Khulna,7.2,Morning,64.2,"61.2,57.1,63.8,64.1,64.2",High
U00076,Rahim Rahman,Male,Daffodil International University,Private,LLB,"Year 1, Spring",2.3,"Criminal Law, Civil Procedure, Jurisprudence, Constitutional Law",87.4,7.8,Criminal Law,Civil Procedure,Tangail,2.2,Evening,56.2,"52.7,59.3,47.8,49.0,56.2",High
U00077,Imtiaz Akter,Male,North South University,Private,Mechanical Engineering,"Year 4, Spring",3.65,"Data Structures, Algorithms, Machine Learning, Thermodynamics, Circuit Analysis, Database Systems",99,3.8,"Data Structures, Algorithms",Thermodynamics,Cox's Bazar,10.1,Evening,88.4,"88.0,80.6,80.0,86.0,88.4",Medium
U00078,Sabina Sarker,Female,Jatiya Kabi Kazi Nazrul Islam University,Public,International Relations,"Year 4, Fall",3.09,"World History, Political Science, Research Methodology, Social Psychology",86.7,4.0,"Social Psychology, Research Methodology",World History,Cumilla,4.3,Evening,82.1,"73.4,77.0,85.8,76.7,82.1",Low
U00079,Shakib Chowdhury,Male,University of Liberal Arts Bangladesh,Private,AI,"Year 4, Spring",3.23,"Algorithms, Machine Learning, Circuit Analysis, Database Systems",87.8,4.5,Database Systems,"Algorithms, Machine Learning",Sylhet,9.1,Afternoon,81.2,"75.9,75.8,74.9,76.1,81.2",Low
U00080,Mariam Ahmed,Female,RUET,Public,Marketing,"Year 2, Spring",3.17,"Microeconomics, Financial Accounting, Business Law, Marketing Strategy",99,3.3,Financial Accounting,Microeconomics,Rajshahi,8.7,Night,83.0,"86.5,77.9,76.0,77.3,83.0",Medium
U00081,Jannat Rahman,Female,Jahangirnagar University,Public,MIS,"Year 3, Spring",2.98,"Principles of Management, Microeconomics, Marketing Strategy, Financial Accounting, Business Law",87.8,7.4,"Microeconomics, Marketing Strategy",Principles of Management,Rajshahi,10.0,Night,79.0,"81.0,82.8,75.0,83.8,79.0",Medium
U00082,Jahid Uddin,Male,KUET,Public,Mechanical Engineering,"Year 4, Spring",3.45,"Data Structures, Algorithms, Machine Learning, Circuit Analysis, Thermodynamics, Database Systems",88.4,4.8,Thermodynamics,"Data Structures, Machine Learning",Sylhet,4.5,Afternoon,81.7,"79.7,85.7,82.3,85.1,81.7",Low
U00083,Jahid Ali,Male,Comilla University,Public,EEE,"Year 1, Fall",2.9,"Thermodynamics, Database Systems, Data Structures, Machine Learning",64.3,7.4,"Data Structures, Database Systems","Machine Learning, Thermodynamics",Rangpur,7.6,Afternoon,76.2,"69.8,67.8,73.9,75.3,76.2",Medium
U00084,Imtiaz Khan,Male,East West University,Private,Software Engineering,"Year 1, Spring",3.24,"Thermodynamics, Algorithms, Circuit Analysis, Machine Learning",77.5,4.3,Circuit Analysis,Machine Learning,Dhaka,6.3,Evening,77.5,"68.3,79.0,79.7,80.5,77.5",Low
U00085,Sabina Uddin,Female,RUET,Public,English,"Year 1, Spring",3.06,"Literary Criticism, History of Art, Ethics, Mass Communication",90.6,1.8,Ethics,History of Art,Khulna,6.7,Morning,74.9,"77.8,73.1,79.8,73.8,74.9",High
U00086,Tanjila Ali,Female,"Independent University, Bangladesh",Private,Anthropology,"Year 1, Fall",3.21,"World History, Social Psychology, Research Methodology, Political Science",62.7,7.1,Political Science,"Social Psychology, Research Methodology",Kushtia,8.9,Night,84.8,"88.3,86.6,81.6,76.3,84.8",Medium
U00087,Tasnia Hossain,Female,Jatiya Kabi Kazi Nazrul Islam University,Public,HRM,"Year 1, Spring",3.67,"Principles of Management, Microeconomics, Marketing Strategy, Business Law, Financial Accounting",80.1,8.4,"Microeconomics, Financial Accounting",Business Law,Khulna,3.2,Morning,90.7,"95.5,91.5,93.9,92.3,90.7",Low
U00088,Shakib Begum,Male,Daffodil International University,Private,Agriculture,"Year 1, Summer",3.72,"Ecology, Sustainable Development, Climate Change, Soil Science",65.6,1.8,"Sustainable Development, Soil Science",Climate Change,Cumilla,4.1,Morning,89.5,"88.7,84.4,85.0,86.9,89.5",High
U00089,Tanvir Rahman,Male,University of Dhaka,Public,Microbiology,"Year 3, Fall",3.12,"Clinical Pharmacy, Organic Chemistry, Human Anatomy, Pharmacology, Genetics",98.2,6.6,Pharmacology,"Organic Chemistry, Clinical Pharmacy",Cumilla,1,Afternoon,78.3,"75.9,78.5,78.7,82.4,78.3",Low
U00090,Mim Khan,Female,Chittagong University,Public,History,"Year 4, Fall",3.24,"Literary Criticism, Mass Communication, Ethics, History of Art",93.2,5.9,"History of Art, Literary Criticism","Mass Communication, Ethics",Sylhet,4.8,Afternoon,77.0,"78.7,78.9,78.5,71.9,77.0",Low
U00091,Rafi Ali,Male,North South University,Private,Finance,"Year 4, Summer",2.78,"Principles of Management, Business Law, Marketing Strategy, Microeconomics",98.8,5.1,Microeconomics,Business Law,Khulna,8.3,Night,66.4,"69.9,57.3,67.1,70.0,66.4",Medium
