student_id,name,gender,class_level,institution_name,subjects,study_hours_per_day,weak_subjects,strong_subjects,exam_score,attendance_percentage,district,device_usage_time,preferred_study_time,historical_scores
BD00025,Karim Hasan,Male,University,Chittagong University,"Accounting, Biology, Chemistry, Bangla, ICT",5.4,Bangla,"Biology, Chemistry",78.2,73.2,Mymensingh,1.1,Evening,"75.7,77.4,75.6,75.8,78.2"
BD00026,Arif Khan,Male,University,BUET,"English, Biology, Bangla, Chemistry, Math",2.3,English,"Math, Chemistry",88.5,87.5,Mymensingh,5.0,Night,"84.5,83.9,84.1,85.4,88.5"
BD00027,Nabil Chowdhury,Male,SSC,Rajshahi Collegiate School,"Accounting, English, ICT, Chemistry, Bangla, Math, Physics",4.0,"Math, English","Chemistry, Physics",65.2,68.6,Gazipur,2.6,Evening,"58.3,58.2,58.3,65.2"
BD00028,Ayesha Akter,Female,SSC,Ideal School and College,"Math, Chemistry, Bangla, Physics, ICT, Biology",3.6,Physics,"Chemistry, ICT",76.2,62.2,Mymensingh,6.0,Morning,"67.7,66.9,65.6,76.2"
BD00029,Sumaiya Akter,Female,HSC,Govt. M. M. City College,"Bangla, English, Physics, Biology, Chemistry, ICT",3.8,Biology,"Chemistry, English",63.1,68.3,Chattogram,4.0,Evening,"51.8,50.2,50.5,63.1"
BD00030,Fahim Ahmed,Male,University,North South University,"Biology, Accounting, ICT, Math",3.1,"Math, Biology","Accounting, ICT",76.7,81.7,Khulna,3.4,Night,"70.2,68.3,70.0,68.7,76.7"
BD00031,Mariam Islam,Female,SSC,Dhaka Residential Model College,"Physics, English, Bangla, Accounting, Math, ICT, Biology",2.6,Biology,"Accounting, Bangla",85.2,96.2,Khulna,6.7,Morning,"77.2,80.2,82.8,85.2"
BD00032,Karim Islam,Male,HSC,Govt. M. M. City College,"English, Biology, Accounting, Math, ICT, Bangla, Physics",3.9,"Physics, Biology","English, Math",60.7,92.1,Rajshahi,4.4,Evening,"51.5,51.9,53.5,60.7"
BD00033,Shakib Begum,Male,HSC,Notre Dame College,"Physics, Accounting, Bangla, ICT, Biology, Math, Chemistry",3.9,"Math, Accounting",Biology,72.3,79.4,Chattogram,4.6,Morning,"65.7,63.4,65.9,72.3"
BD00034,Sabina Rahman,Female,SSC,Govt. Laboratory High School,"English, Bangla, Math, Chemistry, Accounting",3.0,English,"Bangla, Math",51.1,82.6,Chattogram,2.8,Morning,"42.5,41.1,42.8,51.1"
BD00035,Rahim Begum,Male,University,United International University,"Biology, ICT, Accounting, Bangla, English, Physics",6.5,English,"Biology, Physics",52.9,68.5,Chattogram,9.3,Night,"46.2,44.4,43.2,44.5,52.9"
BD00036,Fariha Ahmed,Female,HSC,Notre Dame College,"Bangla, Chemistry, Accounting, Biology, ICT, English, Physics",4.6,"Biology, Bangla","English, Chemistry",92.4,92.6,Sylhet,4.4,Evening,"85.1,83.0,83.8,92.4"
BD00037,Mariam Akter,Female,University,University of Dhaka,"Math, English, Biology, Chemistry",4.4,"Biology, Chemistry","Math, English",78.5,89.5,Barishal,3.8,Evening,"73.6,73.1,73.8,73.7,78.5"
BD00038,Mariam Akter,Female,SSC,Rajshahi Collegiate School,"Accounting, Physics, Bangla, English, ICT, Biology",3.4,"English, Physics","Biology, Bangla",52.2,82.2,Dhaka,1.0,Evening,"45.4,46.9,44.8,52.2"
BD00039,Naeem Hasan,Male,SSC,Rajshahi Collegiate School,"Chemistry, Accounting, Biology, Math, English, Bangla",3.6,"Accounting, Chemistry","Bangla, English",61.7,76.6,Rajshahi,3.9,Morning,"53.9,53.5,55.9,61.7"
BD00040,Tanvir Ahmed,Male,University,BRAC University,"Accounting, Chemistry, Physics, English, ICT, Math",4.9,"Accounting, Physics","Chemistry, Math",83.1,68.6,Barishal,5.6,Evening,"77.6,76.3,75.9,76.4,83.1"
BD00041,Jannat Khan,Female,SSC,Dhaka Residential Model College,"Math, English, Chemistry, ICT, Bangla, Accounting, Physics",2.7,"ICT, Bangla","English, Physics",61.4,83.4,Rangpur,2.1,Morning,"54.5,52.2,51.7,61.4"
BD00042,Sabina Islam,Female,SSC,Dhaka Residential Model College,"Chemistry, Physics, English, Bangla, Biology",3.0,"Chemistry, Biology",Physics,46.0,74.9,Rangpur,5.2,Evening,"38.3,36.8,36.7,46.0"
BD00043,Nadia Hasan,Female,University,North South University,"Accounting, ICT, Biology, Bangla, Physics",3.4,"Bangla, Accounting","Physics, Biology",76.8,74.6,Khulna,5.3,Morning,"71.0,70.6,73.0,71.6,76.8"
BD00044,Ayesha Khan,Female,SSC,Govt. Laboratory High School,"Math, Accounting, English, Biology, Bangla, ICT, Physics",3.7,"English, Accounting","ICT, Math",47.6,79.2,Dhaka,4.9,Night,"40.5,40.4,38.5,47.6"
BD00045,Naeem Akter,Male,HSC,Rajshahi College,"Accounting, ICT, Physics, English, Bangla, Chemistry",5.4,Bangla,"Physics, Accounting",56.8,97.3,Chattogram,5.3,Morning,"49.4,49.5,47.8,56.8"
BD00046,Jahid Rahman,Male,University,BUET,"Math, ICT, Biology, Accounting",3.6,"Accounting, Biology","Math, ICT",67.2,94.9,Rangpur,7.1,Evening,"60.1,57.8,57.7,57.7,67.2"
BD00047,Naeem Hossain,Male,HSC,Rajshahi College,"Biology, ICT, Accounting, Physics, Chemistry",3.1,"Accounting, ICT","Physics, Chemistry",69.6,82.1,Dhaka,5.2,Morning,"60.5,60.6,58.6,69.6"
BD00048,Fahim Sarker,Male,SSC,Dhaka Residential Model College,"Bangla, Accounting, Chemistry, Physics, Math, English, Biology",5.2,"Bangla, Physics","Accounting, Math",73.0,95.3,Rangpur,4.6,Morning,"70.3,68.5,66.3,73.0"
BD00049,Sajid Hossain,Male,HSC,Dhaka College,"ICT, Biology, English, Accounting, Bangla, Physics",2.6,Accounting,"English, Physics",76.2,94.2,Mymensingh,3.2,Evening,"67.4,69.8,67.8,76.2"
BD00050,Fariha Sarker,Female,University,Rajshahi University,"Chemistry, Bangla, ICT, Physics",3.8,"Chemistry, Physics","ICT, Bangla",98,69.5,Rangpur,5.4,Evening,"93.5,93.2,91.4,93.7,98"
BD00051,Mim Hossain,Female,HSC,Holy Cross College,"Physics, Accounting, Chemistry, Biology, ICT",2.1,"Biology, ICT","Chemistry, Physics",49.9,64.1,Dhaka,3.1,Evening,"38.8,36.5,34.1,49.9"
BD00052,Farhana Ahmed,Female,HSC,Notre Dame College,"ICT, Bangla, Physics, Biology, Math",4.8,"Bangla, Biology",ICT,76.4,92.6,Rajshahi,5.8,Evening,"70.1,69.3,67.5,76.4"
BD00053,Karim Ahmed,Male,HSC,Notre Dame College,"Biology, Bangla, Math, Chemistry, Accounting, Physics, ICT",2.2,"ICT, Biology","Bangla, Chemistry",58.3,93.2,Chattogram,2.7,Evening,"50.7,48.7,47.3,58.3"
BD00054,Sajid Hossain,Male,SSC,Dhaka Residential Model College,"Biology, Accounting, English, Math, Chemistry",3.6,"English, Accounting","Math, Chemistry",90.6,74.2,Dhaka,2.7,Evening,"84.3,83.5,84.8,90.6"
BD00055,Rafi Ahmed,Male,HSC,Govt. M. M. City College,"Bangla, Accounting, ICT, Physics, Biology",2.3,"ICT, Accounting","Physics, Bangla",58.1,84.9,Khulna,7.2,Morning,"53.6,55.3,53.3,58.1"
BD00056,Arif Hossain,Male,SSC,Govt. Laboratory High School,"English, Accounting, Chemistry, Math, Biology, Physics",3.2,"English, Accounting",Biology,91.9,79.5,Khulna,3.8,Morning,"86.9,87.5,88.3,91.9"
BD00057,Sumaiya Chowdhury,Female,HSC,Notre Dame College,"Biology, Bangla, ICT, Chemistry, Math, Accounting, English",3.3,"Bangla, Chemistry",English,78.3,80.8,Sylhet,6.9,Evening,"71.5,69.3,68.3,78.3"
BD00058,Rafi Hasan,Male,HSC,Rajshahi College,"Physics, English, ICT, Chemistry, Biology, Accounting, Math",3.8,Physics,"Math, Accounting",55.2,87.1,Mymensingh,5.4,Evening,"48.9,49.9,48.1,55.2"
BD00059,Naeem Khan,Male,University,NSU,"ICT, Physics, English, Biology",4.0,"Physics, Biology",ICT,55.7,81.0,Sylhet,5.4,Evening,"52.3,53.7,54.4,53.5,55.7"
BD00060,Tanjila Rahman,Female,HSC,Holy Cross College,"Accounting, Biology, ICT, Math, Chemistry",4.9,"Accounting, Chemistry",Biology,80.2,79.7,Sylhet,3.6,Night,"72.2,72.7,72.3,80.2"
BD00061,Tanjila Hossain,Female,University,Chittagong University,"Accounting, English, Biology, Physics, ICT, Bangla",2.9,"Biology, Accounting","Physics, Bangla",62.4,76.4,Mymensingh,5.8,Morning,"55.1,53.1,56.0,58.6,62.4"
BD00062,Karim Rahman,Male,University,North South University,"Accounting, Physics, Chemistry, Biology, Math, ICT",2.5,"Math, Chemistry","Accounting, Biology",66.9,73.4,Sylhet,5.8,Morning,"63.7,61.7,60.4,59.8,66.9"
BD00063,Tanvir Hossain,Male,SSC,Ideal School and College,"Bangla, English, ICT, Accounting, Chemistry, Physics, Biology",2.0,"Physics, English",Accounting,63.5,89.9,Rangpur,3.7,Evening,"56.3,57.8,56.9,63.5"
BD00064,Rahim Hossain,Male,SSC,Ideal School and College,"Physics, Bangla, Biology, Math, Chemistry, Accounting",1.8,Bangla,Math,64.3,83.8,Rajshahi,4.1,Morning,"61.4,59.2,60.2,64.3"
BD00065,Mahmud Ahmed,Male,HSC,Holy Cross College,"Chemistry, ICT, Physics, English, Accounting, Math",4.1,Accounting,"Physics, English",66.4,84.8,Cumilla,4.6,Evening,"61.9,59.9,61.3,66.4"
BD00066,Sabina Begum,Female,HSC,Govt. M. M. City College,"English, Physics, Biology, Accounting, Bangla",5.8,"Bangla, Physics",Biology,44.6,74.1,Barishal,4.8,Evening,"36.7,35.3,33.9,44.6"
BD00067,Jahid Hossain,Male,SSC,Ideal School and College,"Physics, Math, Chemistry, English, Bangla",3.7,"Physics, Bangla",English,63.9,83.7,Rajshahi,1.1,Morning,"57.9,55.7,53.8,63.9"
BD00068,Tanvir Begum,Male,SSC,Ideal School and College,"Accounting, Bangla, Math, Physics, English, Biology, ICT",4.2,"English, Bangla","ICT, Math",49.1,90.5,Sylhet,3.0,Evening,"43.8,41.4,39.3,49.1"
BD00069,Jahid Akter,Male,University,BUET,"Bangla, ICT, Accounting, Physics, English",5.8,"Bangla, Accounting","Physics, English",92.1,95.4,Chattogram,5.1,Morning,"82.9,81.8,79.5,79.1,92.1"
BD00070,Sadia Akter,Female,SSC,Govt. Laboratory High School,"Chemistry, ICT, Biology, Bangla, Accounting, Physics",1.9,"Bangla, Chemistry","Physics, ICT",76.2,78.3,Mymensingh,3.0,Morning,"66.9,68.8,67.5,76.2"
BD00071,Nabil Islam,Male,HSC,Dhaka College,"English, Bangla, Biology, ICT, Accounting",3.4,"ICT, English",Bangla,66.3,81.5,Mymensingh,5.8,Evening,"56.1,55.3,53.1,66.3"
BD00072,Nabil Hossain,Male,HSC,Notre Dame College,"ICT, Physics, Math, English, Accounting, Bangla, Biology",5.6,"English, Physics","ICT, Biology",72.8,66.9,Gazipur,2.4,Evening,"67.8,66.5,67.0,72.8"
BD00073,Shakib Rahman,Male,HSC,Rajshahi College,"English, Physics, Math, ICT, Bangla, Accounting, Chemistry",4.9,"ICT, Physics","Math, Accounting",58.1,73.4,Khulna,4.0,Evening,"52.0,52.1,51.4,58.1"
BD00074,Jahid Akter,Male,HSC,Notre Dame College,"English, Biology, Bangla, Chemistry, Math, Accounting",3.1,Bangla,"Biology, Accounting",57.4,84.3,Rajshahi,8.1,Evening,"51.5,52.5,53.6,57.4"
BD00075,Farhana Begum,Female,HSC,Holy Cross College,"Bangla, Accounting, English, Chemistry, Biology, Math, ICT",4.8,"Chemistry, Biology",ICT,62.8,78.1,Dhaka,2.1,Night,"59.1,59.4,58.3,62.8"
BD00076,Sabina Khan,Female,SSC,Rajshahi Collegiate School,"English, Biology, Accounting, ICT, Math, Physics, Chemistry",4.0,"Biology, ICT",Chemistry,88.5,80.8,Gazipur,3.7,Night,"79.5,78.0,78.4,88.5"
BD00077,Tanjila Ahmed,Female,University,North South University,"ICT, Bangla, Math, Accounting",3.5,"Bangla, Accounting","Math, ICT",58.8,62.2,Sylhet,6.9,Evening,"50.0,49.4,49.8,51.5,58.8"
BD00078,Nadia Akter,Female,SSC,Viqarunnisa Noon School and College,"English, Bangla, Chemistry, Biology, Accounting, Physics, ICT",4.8,"Bangla, Biology","Chemistry, Accounting",74.0,99,Sylhet,5.3,Morning,"62.6,62.7,61.3,74.0"
BD00079,Mahmud Chowdhury,Male,University,Rajshahi University,"Accounting, Math, Physics, Bangla, ICT, Biology",6.8,Bangla,"Biology, Physics",77.6,71.6,Dhaka,5.6,Morning,"74.2,76.8,79.6,78.1,77.6"
BD00080,Ayesha Hossain,Female,HSC,Holy Cross College,"Bangla, Accounting, English, Math, Biology, ICT, Chemistry",4.3,"Chemistry, ICT","Biology, English",71.8,99,Rangpur,3.6,Evening,"65.1,65.6,65.0,71.8"
BD00081,Sajid Ahmed,Male,SSC,Viqarunnisa Noon School and College,"English, Biology, Math, Bangla, Physics, Chemistry",4.3,"Math, Chemistry","Bangla, Physics",64.6,85.2,Barishal,2.6,Night,"60.3,60.1,58.0,64.6"
BD00082,Tanvir Begum,Male,University,Khulna University,"Chemistry, Accounting, ICT, Biology, English, Bangla",2.8,"English, ICT","Biology, Chemistry",75.6,97.0,Khulna,5.7,Night,"71.8,70.0,70.7,69.7,75.6"
BD00083,Nabil Sarker,Male,SSC,Govt. Laboratory High School,"Math, ICT, Bangla, English, Chemistry",4.1,Bangla,"Math, Chemistry",52.3,70.5,Mymensingh,1.3,Night,"45.0,43.3,44.6,52.3"
BD00084,Jahid Khan,Male,HSC,Holy Cross College,"Accounting, Biology, Bangla, Math, Chemistry, ICT, Physics",3.4,"Chemistry, ICT","Physics, Accounting",36.9,80.0,Cumilla,5.5,Morning,"29.5,28.5,28.0,36.9"
BD00085,Arif Begum,Male,HSC,Notre Dame College,"Chemistry, Accounting, Biology, ICT, Math, Physics",3.4,Math,"Accounting, Chemistry",65.7,80.2,Barishal,3.1,Morning,"55.2,53.7,52.4,65.7"
BD00086,Arif Rahman,Male,SSC,Viqarunnisa Noon School and College,"Accounting, Math, English, Chemistry, Physics",3.9,English,"Chemistry, Math",90.0,99,Khulna,3.5,Morning,"82.9,83.4,83.8,90.0"
BD00087,Naeem Hossain,Male,SSC,Ideal School and College,"Bangla, Math, English, Physics, ICT, Accounting, Chemistry",1.8,"English, Chemistry",Bangla,70.6,83.9,Cumilla,5.1,Evening,"65.3,65.6,67.2,70.6"
BD00088,Nabil Chowdhury,Male,SSC,Govt. Laboratory High School,"English, Accounting, Math, Chemistry, Biology, Bangla",2.7,"English, Chemistry",Math,55.7,83.0,Mymensingh,3.0,Night,"51.6,53.5,52.1,55.7"
BD00089,Tanjila Hasan,Female,SSC,Ideal School and College,"Physics, Bangla, ICT, English, Accounting, Math",4.3,Physics,"Math, Bangla",51.6,76.8,Khulna,3.3,Evening,"48.6,46.5,45.6,51.6"
BD00090,Ayesha Hasan,Female,SSC,Viqarunnisa Noon School and College,"Chemistry, Accounting, Physics, ICT, Math, Bangla",2.4,"ICT, Physics","Bangla, Math",53.6,88.6,Khulna,4.9,Evening,"48.1,50.0,49.8,53.6"
BD00091,Nadia Islam,Female,University,Jahangirnagar University,"ICT, Math, Biology, Accounting, Bangla, Physics",3.2,Math,"Bangla, ICT",80.2,75.7,Cumilla,8.0,Morning,"74.3,74.9,73.8,76.3,80.2"
BD00092,Mim Akter,Female,SSC,Rajshahi Collegiate School,"Biology, Bangla, Accounting, Math, Chemistry",1.6,"Bangla, Biology","Accounting, Chemistry",78.3,90.7,Mymensingh,2.4,Morning,"72.7,74.5,76.7,78.3"
BD00093,Tanjila Sarker,Female,HSC,Dhaka College,"English, Biology, Physics, Math, ICT, Chemistry",5.2,"ICT, English",Math,66.0,72.5,Khulna,6.3,Evening,"56.7,57.1,55.0,66.0"
BD00094,Sabina Islam,Female,HSC,Govt. M. M. City College,"English, Bangla, Biology, Chemistry, Physics, ICT",4.5,Biology,Bangla,70.6,82.8,Barishal,4.4,Morning,"69.4,68.1,69.9,70.6"
BD00095,Sumaiya Sarker,Female,HSC,Holy Cross College,"Bangla, Physics, Math, Accounting, English, ICT, Chemistry",3.0,"Math, Accounting",ICT,40.0,65.3,Mymensingh,7.1,Evening,"33.2,31.2,28.7,40.0"
BD00096,Mim Islam,Female,SSC,Dhaka Residential Model College,"ICT, Bangla, Physics, Biology, Math, Accounting",1.1,"Biology, Math","Physics, Bangla",90.2,90.9,Rajshahi,2.5,Morning,"82.3,82.0,83.5,90.2"
BD00097,Fariha Ahmed,Female,SSC,Rajshahi Collegiate School,"Accounting, Biology, English, ICT, Bangla, Chemistry",4.8,ICT,"Bangla, Accounting",68.1,91.9,Cumilla,4.9,Evening,"63.8,65.3,62.9,68.1"
BD00098,Tanjila Islam,Female,University,United International University,"Chemistry, Biology, Physics, Math, Accounting",6.6,"Physics, Accounting","Chemistry, Biology",90.2,75.1,Dhaka,7.0,Night,"85.6,85.3,88.0,86.7,90.2"
BD00099,Jannat Hossain,Female,SSC,Viqarunnisa Noon School and College,"Math, Biology, Chemistry, Physics, English",2.3,"Chemistry, English","Math, Biology",74.9,81.6,Chattogram,2.5,Morning,"67.9,68.1,66.3,74.9"
BD00100,Tanjila Begum,Female,SSC,Viqarunnisa Noon School and College,"Biology, Bangla, Physics, English, Accounting, ICT, Math",2.6,"English, Math","Bangla, Biology",61.3,99,Sylhet,4.2,Evening,"50.2,48.8,46.5,61.3"
BD00101,Fahim Hasan,Male,SSC,Dhaka Residential Model College,"Chemistry, Biology, Accounting, Physics, Math, Bangla",2.8,"Math, Chemistry","Bangla, Accounting",67.2,77.8,Barishal,4.1,Evening,"61.7,62.0,61.9,67.2"
BD00102,Sadia Begum,Female,University,University of Dhaka,"ICT, Biology, English, Math, Bangla, Physics",4.9,Biology,English,81.0,67.7,Cumilla,5.0,Night,"77.0,79.5,78.1,80.1,81.0"
BD00103,Nadia Rahman,Female,SSC,Dhaka Residential Model College,"Physics, ICT, English, Accounting, Math",4.0,"English, Physics","Math, Accounting",49.8,78.4,Mymensingh,3.2,Night,"39.4,39.2,38.9,49.8"
BD00104,Jahid Akter,Male,University,Jahangirnagar University,"Biology, Chemistry, ICT, Physics, Math",2.3,"Physics, ICT","Math, Biology",62.8,72.1,Gazipur,6.8,Morning,"55.4,53.7,54.5,56.2,62.8"
BD00105,Arif Sarker,Male,SSC,Ideal School and College,"Biology, ICT, Bangla, English, Math, Chemistry, Physics",3.2,Biology,"Bangla, Physics",98,83.3,Dhaka,4.4,Evening,"91.3,89.5,89.5,98"
BD00106,Mahmud Begum,Male,SSC,Ideal School and College,"ICT, Math, Bangla, Chemistry, English, Accounting",3.7,English,"Math, Chemistry",81.2,72.6,Khulna,4.8,Morning,"76.7,78.5,76.3,81.2"
BD00107,Mahmud Ahmed,Male,University,University of Dhaka,"Math, ICT, Physics, Biology, English",3.6,"Biology, Physics","Math, ICT",74.2,62.4,Khulna,5.6,Night,"66.3,68.3,67.7,69.7,74.2"
BD00108,Mim Islam,Female,SSC,Viqarunnisa Noon School and College,"Bangla, Math, ICT, Accounting, Physics, Biology",3.8,"Physics, Accounting","Math, Bangla",52.0,99,Cumilla,4.2,Night,"45.2,46.7,47.6,52.0"
BD00109,Nabil Khan,Male,SSC,Ideal School and College,"Physics, Biology, Accounting, Bangla, ICT, English, Math",3.1,"Physics, Math",ICT,57.4,69.5,Cumilla,4.9,Morning,"50.6,52.8,53.6,57.4"
BD00110,Rafi Hasan,Male,SSC,Ideal School and College,"ICT, Accounting, Math, English, Chemistry, Biology, Physics",1.3,"Math, ICT",English,71.3,98.0,Gazipur,3.1,Morning,"66.5,64.5,65.4,71.3"
BD00111,Rahim Sarker,Male,SSC,Rajshahi Collegiate School,"Biology, Bangla, Chemistry, English, Math",2.3,"English, Chemistry",Biology,77.8,81.9,Khulna,1.0,Morning,"68.1,67.5,66.2,77.8"
BD00112,Mariam Sarker,Female,HSC,Dhaka College,"Math, English, Accounting, Biology, Physics, ICT, Chemistry",1.2,ICT,English,63.8,70.9,Dhaka,4.8,Morning,"51.7,54.5,54.9,63.8"
BD00113,Ayesha Islam,Female,HSC,Notre Dame College,"Biology, English, Math, ICT, Chemistry, Accounting",1.7,Accounting,"Chemistry, Biology",82.6,84.3,Cumilla,6.5,Morning,"76.8,75.1,73.9,82.6"
BD00114,Fariha Islam,Female,HSC,Rajshahi College,"Chemistry, Accounting, Bangla, English, ICT",4.2,"Accounting, Bangla","English, Chemistry",73.0,88.7,Dhaka,5.8,Night,"66.2,66.6,65.0,73.0"
BD00115,Mim Rahman,Female,HSC,Dhaka College,"ICT, Physics, English, Bangla, Biology, Chemistry",3.5,"Bangla, Biology",Physics,66.2,94.9,Cumilla,7.7,Evening,"56.3,53.9,54.6,66.2"
BD00116,Nadia Chowdhury,Female,SSC,Govt. Laboratory High School,"Bangla, Accounting, Chemistry, English, Math, Physics",3.2,Accounting,"English, Chemistry",68.5,80.6,Dhaka,4.2,Night,"66.0,68.0,65.9,68.5"
BD00117,Naeem Khan,Male,SSC,Viqarunnisa Noon School and College,"Biology, ICT, Bangla, Math, Chemistry, English, Physics",0.8,Chemistry,"English, Math",76.9,93.2,Mymensingh,3.7,Morning,"71.3,74.0,71.8,76.9"
BD00118,Nabil Ahmed,Male,University,University of Dhaka,"Physics, Math, Chemistry, Accounting, ICT, English",2.8,Physics,"Accounting, English",91.2,68.9,Mymensingh,7.7,Night,"86.9,89.4,92.1,94.1,91.2"
BD00119,Sajid Ahmed,Male,HSC,Dhaka College,"Math, Chemistry, Accounting, ICT, Bangla",4.9,"Bangla, Math",Chemistry,93.9,80.3,Rangpur,5.9,Morning,"87.4,87.7,89.0,93.9"
BD00120,Naeem Hossain,Male,SSC,Rajshahi Collegiate School,"ICT, Chemistry, Accounting, Bangla, Biology",1.7,"Biology, Accounting","ICT, Chemistry",64.9,82.8,Cumilla,4.8,Morning,"61.6,63.1,63.1,64.9"
